english,pos,proto_form,confidence,n_cognates,lang1,lang2,lang3,lang4,lang5,lang6,lang7
failure,NN,*dáliminéri,medium,2,dáliminéri,,þàdàlímĩ́nẽ́rígemẽ,,ngdàliminéri,,
concept,NN,*vónaváramu,low,0,vónaváramu,,,,,,
complexity,NN,*nárugunu,low,1,nárugunu,,nã̀rúgúnĩ́nĩ,,,,
draft,NN,*vózumurélama,low,1,vózumurélama,,,,,,vvóngúmṹrélòmõ̀ngò
one,CARD,*sé,medium,2,sé,shénù,,Shénĩ,,,
two,CARD,*po,high,4,po,pù,pogàdíngérenã̀nĩ,,Poéle,pogadingérebe,
three,CARD,*nézi,medium,2,nézi,,,nẽ́zíqgàdí,,,nẽ́ngígèdí
four,CARD,*vóru,high,6,vóru,ggàríqgàdí,tàvàrígàdí,pííràqgà,píràqgà,bvarigadi,ngúúròvórúnṹ
five,CARD,*náni,medium,2,náni,nàní,,nã̀nĩ,,,
six,CARD,*kóru,medium,3,kóru,,,,kóvànulu,kóru,údórúmũ̀mṹ
seven,CARD,*tézi,low,0,tézi,,,,,,
eight,CARD,*ú,high,5,ú,Ú,úú,úú,ú,nĩzã,
nine,CARD,*níza,medium,3,níza,,Kàdíngérelúúnãã,,níngàqgà,Lúnã,
ten,CARD,*vézi,high,4,vézi,,tàvézíngérenã̀nĩ,tàgézí,,bvézi,vvéngí
eleven,CARD,*nómo,low,0,nómo,,,,,,
twelve,CARD,*fúzu,medium,3,fúzu,,,,fúngu,fúzu,Fúúngú
thirteen,CARD,*hálu,medium,3,hálu,hàlú,hàlú,,,halu,
fourteen,CARD,*téna,low,0,téna,,,,,,
fifteen,CARD,*bíra,medium,3,bíra,þàbííràqngà,,,ngbíràqgà,þabírã,
sixteen,CARD,*shís,low,1,shís,,,,,Shís,
seventeen,CARD,*mánu,low,0,mánu,,,,,,
eighteen,CARD,*vóza,low,1,vóza,,,bvózã,,,
nineteen,CARD,*lúna,medium,3,lúna,Lúúnàgà,,,Lúna,Lúnã,
twenty,CARD,*kádi,medium,3,kádi,qàdí,kàdíngéreúú,,,bvézingangali,
400 píra (20^2; 100 in base,CARD,*20),low,0,20),,,,,,
"8,000 múzu (20^3; 1000 in base",CARD,*20),low,0,20),,,,,,
"64,000,000 vóma (20^6; 1000000 in base",CARD,*20),low,0,20),,,,,,
white,JJ,*éleli,low,0,éleli,,,,,,
yellow,JJ,*málalu,low,0,málalu,,,,,,
blue,JJ,*félirili,medium,3,félirili,kélírílí,,,,kélirili,kélírílí
green,JJ,*kóvanulu,high,5,kóvanulu,Kóvànúlú,,Kóvànṹlú,kóvànulu,kóvanũlu,Kóvònṹlú
purple,JJ,*shúyalu,low,0,shúyalu,,,,,,
gray,JJ,*shíynili,low,1,shíynili,,,,,,shííynĩ́lí
silver,JJ,*tézimili,high,6,tézimili,téngímílí,tézímĩ́lí,tézímĩ́lí,téngimili,tézimĩli,Téngímĩ́lí
transparent,JJ,*múranuzámulu,low,0,múranuzámulu,,,,,,
bright/shining,JJ,*glízali,high,4,glízali,,ízàmĩ́mĩ,ðglíízàlí,àgérimàlàngimi,þaglízali,
loud,JJ,*bárimili,medium,2,bárimili,ídàrímíngúmí,,ídàrímĩ́zúmĩ,,,
quietly,RB,*nebárimilimi,low,1,nebárimilimi,,,,,nẽbarimĩlimĩ,
heavy,JJ,*kárunulu,medium,3,kárunulu,kàrúnúlú,,,,karunũlu,kòrúnṹlú
lightweight,JJ,*mìlili,low,0,mìlili,,,,,,
hot,JJ,*xázunulu,medium,2,xázunulu,,xàzúnṹlú,dzàngúrú,,,
sharp,JJ,*tórumalu,medium,2,tórumalu,,,,tórumàlu,,tórúmõ̀lú
blunt,JJ,*dólumalu,low,0,dólumalu,,,,,,
brave,JJ,*mózunolu,high,5,mózunolu,móngúnùlú,Mṍzúnõlú,,Móngunolu,mṍzunõlu,mṍngúnũ̀lú
cowardly,JJ,*mózumulu,low,0,mózumulu,,,,,,
coward,NN,*mózuma,low,0,mózuma,,,,,,
wise,JJ,*zárumulu,medium,3,zárumulu,úbàlúmúnùmú,,,Kogonovàrungulu,Kogonõvaruzulu,
foolish,JJ,*bórunulu,low,0,bórunulu,,,,,,
fast,JJ,*fúdurulu,low,1,fúdurulu,,,,fúdurulu,,
slowly,RB,*nólumulu,low,1,nólumulu,,nṍlúmṹlú,,,,
tall/high,JJ,*vóvumalu,medium,2,vóvumalu,úlóngúmú,tàvóvúmã̀lú,,,,
short/low,JJ,*márugulu,high,6,márugulu,þàbórùmúmú,xàzúnṹlú,lúúmṹràlú,màngumugo,þagórumãlu,fórúmõ̀lú
wide,JJ,*mógolu,low,0,mógolu,,,,,,
narrow,JJ,*rézali,low,0,rézali,,,,,,
wet,JJ,*shíynimili,medium,3,shíynimili,shííynímílí,,shííynĩ́mĩ́lí,shíynimili,,
dry,JJ,*xóronuzámushlu,medium,2,xóronuzámushlu,hélí,,,,kóvanũlu,
ancient,JJ,*zúravórunulu,high,6,zúravórunulu,ngúúràvórúnúlú,tàzúúràvórúnṹ,dzúúràvórúnṹ,dngúràvórunu,dzúravórunũ,ngúúròvórúnṹ
young,JJ,*dórumulu,low,1,dórumulu,,,ðdórúmṹlú,,,
expensive,JJ,*málalunulu,medium,2,málalunulu,,mã̀làlúnṹlú,,,,mõ̀lòlúnṹlú
cheap,JJ,*múranulu,low,0,múranulu,,,,,,
spicy,JJ,*xázimili,medium,2,xázimili,,xàzímĩ́lí,xàzímĩ́lí,,,
sweet,JJ,*férimili,low,1,férimili,,,,,kérimĩli,
bitter,JJ,*xòrolanu,low,0,xòrolanu,,,,,,
hard,JJ,*tézimili,low,1,tézimili,,,téràmĩ,,,
soft,JJ,*lúmuralu,high,5,lúmuralu,lúúmúràlúbàlù,lúúmṹràlúpélo,,lúmuràlubàlo,lúmũralu,lúúmṹròlúbòlù
separately,RB,*séli,low,1,séli,,,,,séli,
often,RB,*zéranira,medium,2,zéranira,,,,,dzéranĩrã,ngérènĩ́rèngè
rarely,RB,*dólumura,low,0,dólumura,,,,,,
clean,JJ,*kázumulu,high,5,kázumulu,úgàngúmúdàrúmúnù,úgàzúmṹdàrúmṹzúzúmṹ,kàzúmṹlú,ugàngumudàrumumu,,úgòngúmṹdòrúmṹmũ
dirty,JJ,*mózumulu,low,1,mózumulu,,mṍzúmṹlú,,,,
rich,JJ,*málalununulu,medium,3,málalununulu,màlàlúnúnúlú,Mã̀làlúnṹnṹlú,,,Mãlalunũnũlu,
poor,JJ,*dólumununulu,medium,3,dólumununulu,Þàdólúmúnúnúlú,þàdólúmṹnṹnṹlú,ðdólúmṹnṹnṹlú,,,
strong,JJ,*zérimili,medium,2,zérimili,ngérímílí,,,dngérimili,,
weak,JJ,*zérimineli,high,4,zérimineli,,,dzérímĩ́nĩ̀lí,dngérimineli,dzérimĩnẽli,ngérímĩ́nĩ̀lí
early,JJ,*vózumulu,low,0,vózumulu,,,,,,
late,JJ,*nérimili,high,5,nérimili,nérílí,ígérímĩ́lí,kérídàrímĩ,,nẽ́rimĩli,nṍrúlú
dangerous,JJ,*mózulu,low,1,mózulu,,,mṍzúlú,,,
safe,JJ,*górumalu,low,0,górumalu,,,,,,
lucky,JJ,*sélimili,low,1,sélimili,Sélímílí,,,,,
unfortunate,JJ,*férineli,low,0,férineli,,,,,,
honest,JJ,*xélirili,medium,2,xélirili,,Xélírílí,,,Xélirili,
deceitful,JJ,*púrumulu,low,1,púrumulu,,,,,Púrumũlu,
hungry,JJ,*zálumavázumu,medium,2,zálumavázumu,,,,ungàlumu,dzalumãvazumũ,
thirsty,JJ,*nízimavézimi,low,1,nízimavézimi,,nĩ́ĩ́zímã̀vézímĩ́lí,,,,
helpful,JJ,*gérimilu,medium,3,gérimilu,,hólúrúlú,,hólurulu,hólurulu,
useless,JJ,*tógorunolu,low,0,tógorunolu,,,,,,
sword,NN,*míraninérizibálara,medium,2,míraninérizibálara,,mĩ́ĩ́rànĩ́nẽ́rízíbàlàrãã,,,mĩ́ranĩnẽ́rizibalarã,
earth/soil/dirt:,NN,*dága,medium,3,dága,þàdàqgàqngà,,ðdàgànṹ,ngdàqgàqgà,,
smoke:,NN,*fúma,medium,2,fúma,fúúmàgà,,,,,fúúmõ̀ngò
lalley/lowland:,NN,*màru,low,0,màru,,,,,,
bone:,NN,*shéne,high,4,shéne,shénù,shénẽzhénẽnĩ,Shénĩ,Shénoda,,
skin/bark,NN,*pélo,low,1,pélo,,,,,Palodã,
salt:,NN,*báza,low,1,báza,,þàbàzãã,,,,
shadow/ghost:,NN,*níma,high,6,níma,níímàqgì,nĩ́ĩ́mãã,nĩ́ĩ́mã̀qgà,nímàqgà,nĩ́mã,Nĩ́ĩ
key,NN,*vólumudógoru,high,4,vólumudógoru,,tàvólúmṹdógorú,,bvólumudógoru,bvólumũdógoru,vvólúmṹdógùrú
medicine:,NN,*múranuzáluma,medium,2,múranuzáluma,,,,,mṹranũzalumã,mṹṹrònṹngòlúmõ̀ngò
alphabet,NN,*rázumurána,high,5,rázumurána,ràngúmúrànàgà,ràzúmṹrànã̀gook,ràzúmṹrànã,ràngumuràna,,rómṹrú-nṹ
prison,NN,*nèmispíra,high,4,nèmispíra,nàmíhpííràní,,,nàmihpíràni,nãmĩspíranĩ,nẽ̀mĩ́hpíírènĩ
mirror,NN,*várudógoru,medium,3,várudógoru,,tàvàrúdógorúgo,bvàrúdógùrúgù,,bvarudógorugo,
grave,NN,*míranispíra,low,1,míranispíra,,,,,,mĩ́ĩ́rènĩ́hpíírènĩ
weapon,NN,*tórumodógoru,medium,3,tórumodógoru,,,,tórumodógoru,ulórumũmũ,tórúmũ̀dógùrú
armour,NN,*lúmuralubálo,medium,2,lúmuralubálo,,,,lúmuràlubàlo,,lúúmṹròlúbòlù
